store_id,store_name,addr_id,addr_num,addr_st,addr_add,city,state,zip5,store_type,stype_num,store_group,stgrp_num,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020_Jan,Y2020,X,Y,method,match
st_229681,Enmarket 770,A136101,17874,Highway 67,NA,Statesboro,GA,30458,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-81.76283,32.40681,usda,NA
st_229688,CLYDES MARKET 77,A077782,316,SOUTH BROAD STREET,NA,METTER,GA,30439,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,0,0,0,0,-82.05769,32.397,usda,NA
st_229740,QUICK CHANGE 7,A216847,100,Old Quitman Rd,NA,Adel,GA,31620,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,0,0,0,0,0,-83.41861007,31.12250666,esri,NA
st_229743,AMIGO GROCERY,A030690,1105,S Main St,NA,Cedartown,GA,30125,Combination Grocery/Other,2,Small retail,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-85.25427307,34.00176978,esri,StreetAddress
st_229746,North Fork Chevron,A246848,3078,Highway 81,NA,Oxford,GA,30054,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-83.85162,33.66875,usda,NA
st_229756,PIC-N-PAC FOOD MART,A260244,804,Whitesville St,Ste B,Lagrange,GA,30240,Small Grocery Store,14,Grocer,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-85.02893571,33.0255272,esri,PointAddress
st_229760,RIVERSIDE FARMER'S MARKET,A282924,38,Hill St,NA,Roswell,GA,30075,Farmers' Market,6,Local foods,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-84.35928422,34.02168952,esri,NA
st_229785,Fresh n' Low Cost Plus Foods 17,A162415,99,Highway 286,NA,Chatsworth,GA,30705,Supermarket,16,Supermarket,6,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-84.76479,34.82509,usda,NA
st_229790,ANGELS TOUCH VARIETY,A032023,3711,Houston Ave,NA,Macon,GA,31206,Combination Grocery/Other,2,Small retail,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-83.65279702,32.79792594,esri,StreetAddress
st_229804,DON'S MOBILE,A126653,4244,Highway 441 N,NA,Rabun Gap,GA,30568,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-83.38897,34.93578,usda,NA
st_229837,ABC Supermarket,A020672,1217,Joseph E Boone Blvd NW,NA,Atlanta,GA,30314,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,0,0,0,0,0,0,0,-84.42729065,33.76358738,esri,StreetAddress
st_229842,La Mexicana,A211069,351,9th St NE,NA,Cairo,GA,39828,Small Grocery Store,14,Grocer,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,-84.19608,30.8788,usda,NA
st_229876,FOOD OUTLET,A158511,249,Temple Ave,NA,Newnan,GA,30263,Supermarket,16,Supermarket,6,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-84.81987,33.38726,usda,NA
st_229903,SUPER GROCERY,A317190,3160,Chamblee Dunwoody Rd,Ste 101,Atlanta,GA,30341,Medium Grocery Store,10,Grocer,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-84.28870371,33.89024361,esri,PointAddress
st_229922,TAYLOR GROCERY,A322914,4672,Martha Berry Hwy NE,NA,Rome,GA,30165,Convenience Store,3,Small retail,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-85.17244823,34.35408836,esri,PointAddress
st_229928,Country Store,A083734,5259,Stewart Mill Rd,NA,Douglasville,GA,30135,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,1,0,1,1,-84.7481,33.70836,usda,NA
st_229930,Greenbriar Chevron,A172856,3040,Headland Dr SW,NA,Atlanta,GA,30311,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-84.48787,33.68952,usda,NA
st_229948,RIMPY'S CONVENIENCE STORE,A277448,735,Cobbham Rd,NA,Thomson,GA,30824,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-82.49349,33.48214,usda,NA
st_229956,ONE STOP,A250448,29,GA Highway 97,NA,Camilla,GA,31730,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-84.41355,31.07976,usda,NA
st_229965,PARKWAY JUNCTION,A257164,1494,US Highway 319 S,NA,Thomasville,GA,31792,Convenience Store,3,Small retail,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-84.11902436,30.73008892,esri,StreetAddress
st_230019,Small World,A276232,6504,Church St,Ste 1,Riverdale,GA,30274,Combination Grocery/Other,2,Small retail,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-84.41469118,33.5772478,esri,PointAddress
st_230061,Tweet Baby Tweet,A238262,2051,Godby Rd,NA,Atlanta,GA,30349,Combination Grocery/Other,2,Small retail,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-84.45596334,33.61561065,esri,NA
st_230081,D&J Grocery,A096401,7848,Highway 374,NA,Donalsonville,GA,39845,Convenience Store,3,Small retail,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-84.85376831,30.81889742,esri,NA
st_230082,FLOWERY BRANCH CITGO,A155809,5504,Phil Neikro Blvd,NA,Flowery Branch,GA,30542,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-83.92594,34.1819,usda,NA
st_230088,TIME SAVER GRO #3,A329105,3333,Mike Padgett Hwy,NA,Augusta,GA,30906,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-82.00601,33.40339,usda,NA
st_230139,LA MEXICANA DE COLUMBUS,A211106,3305,Victory Dr,NA,Columbus,GA,31903,Large Grocery Store,8,Grocer,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-84.95239,32.43006,usda,NA
st_230149,Family Dollar Store 8295,A148750,5600,Milgen Rd,NA,Columbus,GA,31907,Combination Grocery/Other,2,Small retail,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-84.89056,32.52175,usda,NA
