store1id,store1name,store2name,store2name_1,address_distence,name_distance,address1,address2,add_dist,dup
crackerbox 2741778,st_308264,crackerbox 2741785,st_308296,13,2,4751 Central Ave_NA_Hot Springs National Park_AR_71913,1676 Higdon Ferry Rd_NA_Hot Springs National Park_AR_71913,17,0
crackerbox 2741780,st_308271,crackerbox 2741781,st_308272,10,1,500 Carpenter Dam Rd_NA_Hot Springs National Park_AR_71901,2616 Albert Pike Rd_NA_Hot Springs National Park_AR_71913,17,0
cvs pharmacy 1385,st_133928,cvs pharmacy 1408,st_133929,12,3,1462 N Beauregard St_NA_Alexandria_VA_22311,4606 Kenmore Ave_NA_Alexandria_VA_22304,17,0
cvs pharmacy 9106,st_181739,cvs pharmacy 9121,st_026331,11,2,1652 Garnet Ave_NA_San Diego_CA_92109,4404 El Cajon Blvd_NA_San Diego_CA_92115,17,0
diamond shamrock 2741614,st_216275,diamond shamrock 2741624,st_216272,10,1,10410 N la Canada Dr_NA_Tucson_AZ_85737,8395 N Thornydale Rd_NA_Tucson_AZ_85741,17,0
dollar general 11469,st_196969,dollar general 11484,st_196948,18,2,705 E Main St_NA_Florence_TX_76527,499 E Main St_NA_Slab Fork_WV_25920,17,0
dollar general 2990,st_021848,dollar general 2994,st_021791,13,1,90 N Wilson Rd_NA_Columbus_OH_43204,2807 Winchester Pike_NA_Columbus_OH_43232,17,0
nice n easy 3983,st_039425,nice n easy 3989,st_018287,18,1,23179 State Route 342_NA_Watertown_NY_13601,4835 State Route 365_NA_Oneida_NY_13421,17,0
rebel oil company 2143,st_193409,rebel oil company 2144,st_193410,11,1,1100 S Rainbow Blvd_NA_Las Vegas_NV_89146,6060 W Tropicana Ave_NA_Las Vegas_NV_89103,17,0
rickers oil 72,st_197377,rickers oil 79,st_197379,11,1,5585 Georgetown Rd_NA_Indianapolis_IN_46254,4002 S East St_NA_Indianapolis_IN_46227,17,0
rite aid 11709,st_108468,rite aid 11712,st_108484,12,2,780 Church St NE_NA_Marietta_GA_30060,3028 Shallowford Rd_NA_Marietta_GA_30062,17,0
save a lot 24942,st_313821,save a lot 24943,st_313814,12,1,3101 E Seminary Dr_NA_Fort Worth_TX_76119,4621 E Lancaster Ave_NA_Fort Worth_TX_76103,17,0
save more market 4,st_324236,save more market 5,st_384316,13,1,1557 Gardere Ln_NA_Baton Rouge_LA_70820,15958 Old Hammond Hwy_NA_Baton Rouge_LA_70816,17,0
stripes 2127,st_066757,stripes 2155,st_094136,11,2,3102 Ayers St_NA_Corpus Christi_TX_78415,5614 Saratoga Blvd_NA_Corpus Christi_TX_78414,17,0
super stop 23,st_270708,super stop 32,st_270706,13,2,1630 N Yarbrough Dr_NA_El Paso_TX_79925,1130 Joe Battle Blvd_NA_El Paso_TX_79936,17,0
terrible's 152,st_231273,terrible's 156,st_231274,11,1,4070 Arville St_NA_Las Vegas_NV_89103,109 S Rainbow Blvd_NA_Las Vegas_NV_89145,17,0
terrible's 264,st_231528,terrible's 266,st_231531,12,1,4910 S Maryland Pkwy_NA_Las Vegas_NV_89119,298 S Decatur Blvd_NA_Las Vegas_NV_89107,17,0
tigermart 213 213,st_349756,tigermart 229 229,st_349772,12,4,3400 West End Ave_NA_Nashville_TN_37203,7070 Highway 70 S_NA_Nashville_TN_37221,17,0
united pacific 6496,st_397714,united pacific 6497,st_397716,14,1,4085 Beverly St_NA_Colorado Springs_CO_80917,4310 E Fountain Blvd_NA_Colorado Springs_CO_80916,17,0
walgreens 10139,st_052965,walgreens 10144,st_046532,19,2,1305 N Main St_NA_Vidor_TX_77662,1745 E Main St_NA_Torrington_CT_6790,17,0
wesco 18,st_020396,wesco 26,st_083360,11,2,1858 Ruddiman Dr_NA_Muskegon_MI_49445,2277 E Broadway Ave_NA_Muskegon_MI_49444,17,0
7-eleven 024,st_165436,7-eleven 027,st_165437,18,1,1374 S Clack St_NA_Abilene_TX_79605,1207 N 7th St_NA_Merkel_TX_79536,18,0
7-eleven store 36430a,st_359129,7-eleven store 36451 a,st_336699,16,3,1821 S State St_NA_Provo_UT_84606,31 W 800 N_NA_Orem_UT_84057,18,0
allsups 282,st_132757,allsups 305,st_132756,19,3,901 S Gaston St_NA_Crane_TX_79731,1303 E 1st St_NA_Hereford_TX_79045,18,0
casey's general store 2821,st_179095,casey's general store 2827,st_207401,19,1,201 8th St_NA_Gladbrook_IA_50635,602 East St_NA_Mazon_IL_60444,18,0
chevron food mart,st_402558,chevron food mart,st_312840,21,0,1861 Highway 138 E_NA_Jonesboro_GA_30236,4126 Highway 42_NA_Locust Grove_GA_30248,18,0
circle k 2723930,st_267895,circle k 2723938,st_267900,13,1,4900 N Tryon St_NA_Charlotte_NC_28213,6229 W Sugar Creek Rd_NA_Charlotte_NC_28269,18,0
coborns 2036,st_029404,coborns 2043,st_252479,21,2,205 1st St S_NA_Buffalo_MN_55313,105 E Main St_NA_Melrose_MN_56352,18,0
conoco phillips 2706540,st_189924,conoco phillips 2706550,st_189942,13,1,5899 S Alkire St_NA_Littleton_CO_80127,7501 S Platte Canyon Rd_NA_Littleton_CO_80128,18,0
cracker barrel 0042,st_301314,cracker barrel 0043,st_301315,14,1,200 Brownswitch Rd_NA_Slidell_LA_70458,4656 Pontchartrain Dr_NA_Slidell_LA_70458,18,0
dollar general 10459,st_029495,dollar general 10470,st_031272,19,2,107 Highway 19_NA_Slaughter_LA_70777,180 W US Highway 18_NA_Garner_IA_50438,18,0
duane reade 14129,st_034583,duane reade 14131,st_034585,8,2,55 E 55th St_NA_New York_NY_10022,1 WHITEHALL_NA_NEW YORK_NY_10004,18,0
expresslane 32,st_307623,expresslane 72,st_327250,22,1,702 19th Ave_NA_Moline_IL_61265,112 E 23rd Ave_NA_Coal Valley_IL_61240,18,0
