,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,store_name,addr_num,addr_st,addr_add,city,st,zip5,store_type,storeid,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,long,lat,address
21,21,232377,232377,#1 liberty mart,8625,Liberty Rd,,Randallstown,MD,21133,Medium Grocery Store,st_232113,0,0,1,1,0,0,0,0,0,0,-78.75715,39.65406,liberty rd randallstown md randallstown
22,22,231929,231929,#1 market,3003,Overton Crossing St,,Memphis,TN,38127,Convenience Store,st_231667,0,0,1,1,0,0,0,0,0,0,-81.28824,35.70077,overton crossing st memphis tn memphis
23,23,101802,101802,#1 mini market,36,Westchester Sq,,Bronx,NY,10461,Combination Grocery/Other,st_101792,1,1,1,1,1,1,1,1,1,1,-83.1970779,42.372496,westchester sq bronx ny bronx
24,24,208387,208387,#1 neighborhood deli & grocery inc 353,353,Onderdonk Ave,,Ridgewood,NY,11385,Convenience Store,st_208220,0,0,1,1,1,1,1,0,0,0,-73.67846,42.70707,onderdonk ave ridgewood ny ridgewood
25,25,231819,231819,#1 price busters,5870,Crenshaw Blvd,Ste 502,Los Angeles,CA,90043,Convenience Store,st_231557,0,0,1,1,1,1,1,0,0,0,-82.76101,36.18563,crenshaw blvd los angeles ca los angeles
26,26,9291,9291,#1 stop food mart,1800,Valley View Ln Ste 158,,Irving,TX,75061,Convenience Store,st_009292,1,1,0,0,0,0,0,0,0,0,-118.2914831,34.02717962,valley view ln ste 158 irving tx irving
27,27,36702,36702,#1 stop market,7407,McMinnville Hwy,,Manchester,TN,37355,Convenience Store,st_036701,1,1,1,1,1,1,1,1,1,0,-87.6295125,41.49520951,mcminnville hwy manchester tn manchester
28,28,4856,4856,#1 store food and convenience,312,S Watson Rd,,Arlington,TX,76010,Convenience Store,st_004857,1,1,1,1,1,1,1,0,0,0,-94.53917095,39.06215648,s watson rd arlington tx arlington
29,29,14418,14418,#1 super palestine,10326,S Harlem Ave,,Palos Hills,IL,60465,Small Grocery Store,st_014419,1,1,1,1,1,1,1,1,1,1,-85.62987145,42.31421838,s harlem ave palos hills il palos hills
30,30,59329,59329,#1 supermarket,333,Union Ave,Ste 101,Bakersfield,CA,93307,Large Grocery Store,st_059322,1,1,1,1,0,0,0,0,0,0,-90.09849258,35.674866,union ave bakersfield ca bakersfield
31,31,228315,228315,#2 5 star candy & grocery inc,1275,Saint Nicholas Ave,,New York,NY,10033,Medium Grocery Store,st_228065,0,0,1,1,1,1,1,0,0,0,-119.01937,35.31758,saint nicholas ave new york ny new york
32,32,228367,228367,#3 5 star candy & grocery inc,265,E 167th St,,Bronx,NY,10456,Medium Grocery Store,st_228117,0,0,1,1,1,1,1,0,0,0,-97.96876,41.36414,e 167th st bronx ny bronx
33,33,58505,58505,$ 1 depot inc.,356,W 125th St,,New York,NY,10027,Small Grocery Store,st_058498,1,1,1,1,1,0,0,0,0,0,-91.66343747,29.90415518,w 125th st new york ny new york
34,34,34428,34428,$1 & more,22016,John R Rd,,Hazel Park,MI,48030,Convenience Store,st_034428,1,1,1,1,1,1,1,1,1,0,-83.31036253,42.31173446,john r rd hazel park mi hazel park
35,35,176864,176864,$1 & up stores,2400,Coffee Rd,Ste K,Modesto,CA,95355,Convenience Store,st_176814,0,1,1,1,1,0,0,0,0,0,-84.39617,35.6821,coffee rd modesto ca modesto
36,36,94862,94862,$1 + discount market,10401,Long Beach Blvd,,Lynwood,CA,90262,Small Grocery Store,st_094852,1,1,1,0,0,0,0,0,0,0,-84.95622238,34.76866947,long beach blvd lynwood ca lynwood
