gisjn_ua,name_ua,fips_ua,STATE,Region,Division,year,99cent,dg,grocer,super,walmart,dg_add,grocer_drop,super_drop
G58469,"Montesano--Elma, WA",58469,Washington,West Region,Pacific Division,Y2017,0,0,3,2,0,0,1,0
G58519,"Montevideo, MN",58519,Minnesota,Midwest Region,West North Central Division,Y2017,0,0,3,1,0,0,0,0
G58721,"Monticello, GA",58721,Georgia,South Region,South Atlantic Division,Y2017,0,0,1,0,0,0,1,0
G58843,"Monticello, NY",58843,New York,Northeast Region,Middle Atlantic Division,Y2017,0,0,4,3,1,0,1,0
G58870,"Monticello--Big Lake, MN",58870,Minnesota,Midwest Region,West North Central Division,Y2017,0,0,1,5,1,0,0,0
G58972,"Moodus, CT",58972,Connecticut,Northeast Region,New England Division,Y2017,0,0,1,0,0,0,0,0
G59113,"Mora, MN",59113,Minnesota,Midwest Region,West North Central Division,Y2017,0,0,1,1,0,0,0,0
G59356,"Morris, MN",59356,Minnesota,Midwest Region,West North Central Division,Y2017,0,0,1,1,0,0,1,0
G59437,"Morro Bay--Los Osos, CA",59437,California,West Region,Pacific Division,Y2017,0,0,1,3,0,0,0,0
G59518,"Moses Lake, WA",59518,Washington,West Region,Pacific Division,Y2017,0,0,5,5,1,0,0,0
G60223,"Mount Shasta--Weed, CA",60223,California,West Region,Pacific Division,Y2017,0,0,1,3,0,0,1,0
G60684,"Munising, MI",60684,Michigan,Midwest Region,East North Central Division,Y2017,0,0,1,1,0,0,0,0
G60930,"Mystic Island, NJ",60930,New Jersey,Northeast Region,Middle Atlantic Division,Y2017,0,0,2,1,0,0,0,0
G61759,"New Baden, IL",61759,Illinois,Midwest Region,East North Central Division,Y2017,0,0,1,0,0,0,0,0
G61813,"Newberg, OR",61813,Oregon,West Region,Pacific Division,Y2017,0,0,1,4,0,0,0,1
G62191,"Newcastle, WY",62191,Wyoming,West Region,Mountain Division,Y2017,0,0,1,1,0,0,0,0
G62920,"Newport, VT",62920,Vermont,Northeast Region,New England Division,Y2017,0,0,2,1,0,0,0,0
G63190,"New Wilmington, PA",63190,Pennsylvania,Northeast Region,Middle Atlantic Division,Y2017,0,0,1,0,0,0,0,0
G63282,"Nipomo, CA",63282,California,West Region,Pacific Division,Y2017,0,0,2,2,0,0,0,0
G63379,"Nome, AK",63379,Alaska,West Region,Pacific Division,Y2017,0,0,1,1,0,0,0,0
G63851,"North Shore, CA",63851,California,West Region,Pacific Division,Y2017,0,0,1,0,0,0,0,0
G64378,"Oak Harbor, WA",64378,Washington,West Region,Pacific Division,Y2017,0,0,2,4,1,0,0,1
G64675,"Ocean Shores, WA",64675,Washington,West Region,Pacific Division,Y2017,0,0,1,1,0,0,0,0
G65053,"Okemah, OK",65053,Oklahoma,South Region,West South Central Division,Y2017,0,0,1,1,0,0,0,0
G65431,"Oneida, TN",65431,Tennessee,South Region,East South Central Division,Y2017,0,0,1,2,1,0,0,0
G65485,"Oneonta, AL",65485,Alabama,South Region,East South Central Division,Y2017,0,0,3,3,1,0,0,0
G65539,"Ontario, OR--ID",65539,Oregon,West Region,Pacific Division,Y2017,0,0,5,7,1,0,0,0
G65755,"Orange Cove, CA",65755,California,West Region,Pacific Division,Y2017,0,0,4,1,0,0,0,0
G65767,"Orangetree, FL",65767,Florida,South Region,South Atlantic Division,Y2017,0,0,2,1,0,0,0,0
G65890,"Orofino, ID",65890,Idaho,West Region,Mountain Division,Y2017,0,0,1,1,0,0,0,0
G66093,"Osburn, ID",66093,Idaho,West Region,Mountain Division,Y2017,0,0,2,0,0,0,0,0
G66106,"Osceola, AR",66106,Arkansas,South Region,West South Central Division,Y2017,0,0,2,0,0,0,0,0
G66268,"Othello, WA",66268,Washington,West Region,Pacific Division,Y2017,0,0,2,2,0,0,0,0
G66276,"Otisville, NY",66276,New York,Northeast Region,Middle Atlantic Division,Y2017,0,0,1,1,1,0,0,0
G66430,"Owatonna, MN",66430,Minnesota,Midwest Region,West North Central Division,Y2017,0,0,1,6,1,0,1,0
G66943,"Pahrump, NV",66943,Nevada,West Region,Mountain Division,Y2017,0,0,2,3,1,0,0,0
G67618,"Park City, UT",67618,Utah,West Region,Mountain Division,Y2017,0,0,1,4,0,0,0,0
G67645,"Parker, AZ--CA",67645,Arizona,West Region,Mountain Division,Y2017,0,0,1,1,0,0,0,0
G67861,"Patterson, CA",67861,California,West Region,Pacific Division,Y2017,0,0,1,3,1,0,0,1
G68428,"Pendleton, OR",68428,Oregon,West Region,Pacific Division,Y2017,0,0,1,3,1,0,0,0
G68572,"Perham, MN",68572,Minnesota,Midwest Region,West North Central Division,Y2017,0,0,1,1,0,0,0,0
G68900,"Peterborough, NH",68900,New Hampshire,Northeast Region,New England Division,Y2017,0,0,2,0,0,0,0,0
G69292,"Pierre, SD",69292,South Dakota,Midwest Region,West North Central Division,Y2017,0,0,1,1,0,0,0,1
G69481,"Pine City, MN",69481,Minnesota,Midwest Region,West North Central Division,Y2017,0,0,1,1,1,0,0,0
G69632,"Pittsboro, NC",69632,North Carolina,South Region,South Atlantic Division,Y2017,0,0,1,1,0,0,0,0
G69832,"Placerville--Diamond Springs, CA",69832,California,West Region,Pacific Division,Y2017,0,0,1,8,1,0,0,0
G70129,"Platteville, WI",70129,Wisconsin,Midwest Region,East North Central Division,Y2017,0,0,1,3,0,0,0,0
G70885,"Portageville, MO",70885,Missouri,Midwest Region,West North Central Division,Y2017,0,0,1,1,0,0,0,0
G71560,"Port Townsend, WA",71560,Washington,West Region,Pacific Division,Y2017,0,0,3,4,0,0,0,0
G71722,"Potsdam, NY",71722,New York,Northeast Region,Middle Atlantic Division,Y2017,0,0,1,4,0,0,0,0
G71830,"Powell, WY",71830,Wyoming,West Region,Mountain Division,Y2017,0,0,1,1,0,0,0,0
G71884,"Prairie du Sac--Sauk City, WI",71884,Wisconsin,Midwest Region,East North Central Division,Y2017,0,0,1,0,0,0,1,0
G72019,"Premont, TX",72019,Texas,South Region,West South Central Division,Y2017,0,0,1,0,0,0,0,0
G72410,"Princeville, HI",72410,Hawaii,West Region,Pacific Division,Y2017,0,0,1,2,0,0,0,0
G72424,"Prineville, OR",72424,Oregon,West Region,Pacific Division,Y2017,0,0,2,2,0,0,0,0
G72640,"Pukalani--Makawao--Haiku-Pauwela, HI",72640,Hawaii,West Region,Pacific Division,Y2017,0,0,4,2,0,0,0,0
G72748,"Pullman, WA",72748,Washington,West Region,Pacific Division,Y2017,0,0,1,2,0,0,0,0
G73315,"Rancho Calaveras--Valley Springs, CA",73315,California,West Region,Pacific Division,Y2017,0,0,1,0,0,0,0,0
G73585,"Raymond, WA",73585,Washington,West Region,Pacific Division,Y2017,0,0,1,2,0,0,0,0
G73882,"Redmond, OR",73882,Oregon,West Region,Pacific Division,Y2017,0,0,1,7,1,0,0,0
G73963,"Red Wing, MN",73963,Minnesota,Midwest Region,West North Central Division,Y2017,0,0,2,5,1,0,0,0
G74935,"Rifle, CO",74935,Colorado,West Region,Mountain Division,Y2017,0,0,1,1,0,0,0,0
G75016,"Rio Bravo--El Cenizo, TX",75016,Texas,South Region,West South Central Division,Y2017,0,0,1,0,0,0,0,0
G75097,"Rio Vista, CA",75097,California,West Region,Pacific Division,Y2017,0,0,1,0,0,0,0,0
G75799,"Rockland, ME",75799,Maine,Northeast Region,New England Division,Y2017,0,0,4,2,1,0,0,0
G75880,"Rock Springs, WY",75880,Wyoming,West Region,Mountain Division,Y2017,0,0,3,4,1,0,0,0
G75961,"Rocky Ford, CO",75961,Colorado,West Region,Mountain Division,Y2017,0,0,1,0,0,0,0,0
G76663,"Ruleville, MS",76663,Mississippi,South Region,East South Central Division,Y2017,0,0,1,1,0,0,0,0
G76690,"Rumford, ME",76690,Maine,Northeast Region,New England Division,Y2017,0,0,1,1,0,0,0,0
G76717,"Running Springs, CA",76717,California,West Region,Pacific Division,Y2017,0,0,2,0,0,0,0,0
G77176,"St. Albans, VT",77176,Vermont,Northeast Region,New England Division,Y2017,0,0,2,1,0,0,0,0
G77581,"St. James, MN",77581,Minnesota,Midwest Region,West North Central Division,Y2017,0,0,1,1,0,0,1,0
G77841,"St. Marys, KS",77841,Kansas,Midwest Region,West North Central Division,Y2017,0,0,1,1,0,0,0,0
G77878,"St. Marys, PA",77878,Pennsylvania,Northeast Region,Middle Atlantic Division,Y2017,0,0,2,1,0,0,0,0
G78256,"Salida, CO",78256,Colorado,West Region,Mountain Division,Y2017,0,0,2,2,1,0,1,0
G78526,"Saluda, SC",78526,South Carolina,South Region,South Atlantic Division,Y2017,0,0,4,1,0,0,0,0
G78850,"Sanford, ME",78850,Maine,Northeast Region,New England Division,Y2017,0,0,4,3,1,0,0,0
G79012,"San Joaquin, CA",79012,California,West Region,Pacific Division,Y2017,0,0,1,1,0,0,0,0
G79120,"San Luis, AZ",79120,Arizona,West Region,Mountain Division,Y2017,0,0,1,3,1,0,0,0
G79444,"Santa Paula, CA",79444,California,West Region,Pacific Division,Y2017,0,0,10,3,0,0,0,0
